node,degree,pagerank,assigner_count,assignee_count,total_activity
上海豹云网络信息服务有限公司,2,0.0014807133250340882,0,2,2
中国建设银行股份有限公司,3,0.007266506850405011,1,2,3
建信金融科技有限责任公司,2,0.006952384010062856,1,1,2
西门子公司,9,0.001516840523704277,7,2,9
苹果公司,5,0.0025139720129461686,0,5,5
LG电子株式会社,5,0.0007613999993623027,5,0,5
汤姆逊许可公司,4,0.002032486333031446,1,3,4
河南工学院,1,0.0007613999993623027,1,0,1
合肥智慧龙机械设计有限公司,16,0.006804402627854233,0,16,16
夏普株式会社,2,0.0007613999993623027,2,0,2
株式会社和冠,4,0.002703545978676123,0,4,4
华东师范大学,4,0.000899878666181388,3,1,4
复旦大学,1,0.0010164441441426865,0,1,1
南京晓庄学院,1,0.0007613999993623027,1,0,1
南京硅基智能科技有限公司,2,0.0020561639855715165,0,2,2
哈尔滨理工大学,4,0.0014087819924669094,3,1,4
合肥净龙环保科技有限公司,8,0.0037268451458351034,0,8,8
四川九成信息技术有限公司,4,0.0007613999993623027,4,0,4
福州环亚众志计算机有限公司,3,0.0018943184872953647,0,3,3
西华大学,2,0.0007613999993623027,2,0,2
闽江学院,6,0.0007613999993623027,6,0,6
上海星地通讯工程研究所,3,0.00237985498212382,0,3,3
西安慧脑智能科技有限公司,4,0.0021833283056456355,0,4,4
鲁东大学,1,0.0007613999993623027,1,0,1
江苏大学,6,0.0007613999993623027,6,0,6
合肥九州龙腾科技成果转化有限公司,9,0.0031576793959890797,0,9,9
蚂蚁智信(杭州)信息技术有限公司,2,0.0007613999993623027,2,0,2
支付宝(杭州)信息技术有限公司,2,0.0010850909959146061,1,1,2
无锡桑尼安科技有限公司,1,0.0007613999993623027,1,0,1
环旭电子股份有限公司,1,0.0007613999993623027,1,0,1
环胜电子(深圳)有限公司,1,0.0014087819924669094,0,1,1
东华理工大学,2,0.0007613999993623027,2,0,2
衢州学院,1,0.0010850909959146061,0,1,1
广州诚毅科技咨询有限公司,4,0.0016063046263412695,0,4,4
北京市商汤科技开发有限公司,1,0.0007613999993623027,1,0,1
北京绝影智联科技有限公司,2,0.0020561639855715165,0,2,2
苏宁云商集团股份有限公司,1,0.0007613999993623027,1,0,1
苏宁易购集团股份有限公司,1,0.0014087819924669094,0,1,1
首都师范大学,3,0.0007613999993623027,3,0,3
北方工业大学,3,0.0013008849936161418,1,2,3
深圳市马博士网络科技有限公司,2,0.001157022328481785,0,2,2
北京明略昭辉科技有限公司,1,0.0007613999993623027,1,0,1
上海明胜品智人工智能科技有限公司,3,0.0026550899938386765,0,3,3
姜通渊,1,0.0007613999993623027,1,0,1
青岛大学附属医院,1,0.0014087819924669094,0,1,1
北京拓思德科技有限公司; 田雪松,3,0.0007613999993623027,3,0,3
上海斐讯数据通信技术有限公司; 台州市吉吉知识产权运营有限公司,1,0.0007613999993623027,1,0,1
台州市吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司,1,0.0014087819924669094,0,1,1
浪潮卓数大数据产业发展有限公司,4,0.0015315392448210076,1,3,4
浪潮云信息技术股份公司,3,0.002671930499027734,0,3,3
广东工业大学,3,0.0007613999993623027,3,0,3
广州鼎航信息技术服务有限公司,3,0.0014627304918922936,0,3,3
北京中星微电子有限公司,1,0.0007613999993623027,1,0,1
北京中星微电子有限公司; 中星电子股份有限公司,1,0.0014087819924669094,0,1,1
张伟,1,0.0007613999993623027,1,0,1
华为云计算技术有限公司,2,0.0023812281672499205,0,2,2
佛山市幻云科技有限公司,1,0.0007613999993623027,1,0,1
成都鼎智汇科技有限公司,1,0.0009232454976384545,0,1,1
成都理工大学,1,0.0007613999993623027,1,0,1
西安科技大学,2,0.0010850909959146061,1,1,2
瑞典爱立信有限公司,6,0.004097999260818996,2,4,6
杨明,4,0.0007613999993623027,4,0,4
郑州云海信息技术有限公司,3,0.0007613999993623027,3,0,3
浪潮云信息技术有限公司,4,0.0026009813145639613,0,4,4
