"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"深圳矽感科技有限公司; 矽感微讯公司","武汉矽感科技有限公司; 矽感科技(深圳)有限公司","广东",NA,"广东","Unknown"
"华讯方舟科技有限公司; 西安华讯方舟信息技术有限公司","西安华讯方舟信息技术有限公司; 深圳市华讯方舟光电技术有限公司; 华讯方舟科技有限公司","广东","710075 陕西省西安市高新区沣惠南路36号橡树街区1号楼10701室、10702室; 518000 广东省深圳市宝安区西乡街道臣田社区臣田工业区37栋404; 518000 广东省深圳市宝安区西乡宝田一路臣田工业区第37栋1楼及2楼靠西","广东","71"
"湖南橙色盒子电子商务有限公司","东莞英伍电子有限公司","广东","523000 广东省东莞市清溪镇银山工业区康怡路176号A、B栋3楼","广东","52"
"高崧","北京射济通科技开发有限公司","北京","北京市海淀区北三环西路48号科技会展中心A座1号楼10层C、D室  邮编 :  100086","北京","北京"
"爱控股株式会社; 自中间全球株式会社; 索尼株式会社","连株式会社; 爱迩外株式会社; 连股份有限公司","日本","日本东京; 日本东京都","日本","日本"
"四川省致链数字科技有限公司","四川亚度家具有限公司","四川","618113 四川省德阳市中江县兴隆镇隆锦路10号","四川","61"
"重庆大学","重庆守愚科技有限公司","重庆","401122 重庆市北部新区鸳鸯路8号2栋1-11-3","重庆","40"
"蚂蚁智信(杭州)信息技术有限公司","蚂蚁胜信(上海)信息技术有限公司","上海","200010 上海市黄浦区外马路618号6层610室","上海","20"
"浙江知多多网络科技有限公司; 杭州电子科技大学","江苏国贸酝领智能科技股份有限公司; 浙江知多多网络科技有限公司","浙江","215000 江苏省苏州市工业园区唯亭镇唯文路5号; 310016 浙江省杭州市江干区高德置地中心1号楼3003室-1","浙江","21"
"重庆邮电大学; 深圳泓越企业管理咨询有限公司","深圳泓越企业管理咨询有限公司; 北京海唐新媒文化科技股份有限公司","重庆","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104; 100000 北京市海淀区阜外亮甲店1号恩济西园产业园孵化区228室","重庆","51"
"北京京诚瑞达电气工程技术有限公司; 中冶京诚工程技术有限公司","中冶京诚数字科技(北京)有限公司; 中冶京诚工程技术有限公司","北京","100176 北京市大兴区北京经济技术开发区科谷一街10号院10号楼11层1101","北京","10"
"南京区盟链信息科技有限公司; 苏州区盟链数字科技有限公司","苏州区盟链数字科技有限公司; 南京区盟链信息科技有限公司","江苏","215100 江苏省苏州市相城区高铁新城南天成路55号相融大厦13层1301室; 210000 江苏省南京市江北新区研创园团结路99号孵鹰大厦1212室","江苏","21"
"广州即讯数码科技有限公司; 严春莲","广州即讯数码科技有限公司; 广州市久邦数码科技有限公司","广东","510055 广州市中山三路33号中华国际中心A座16-17层; 广东省广州市天河东路242号206室  邮政编码 : 510620","广东","51"
"山东公链信息科技有限公司","李宝次; 山东公链信息科技有限公司","山东","350000 福建省福州市晋安区连江中路196号源福花园","山东","35"
